feature_set,n_features,oa,balanced_accuracy,macro_f1,durian_f1,rubber_f1,source_workbook,source_sheet
S2_S1,22,0.8976660682226212,0.8906013798784882,0.8823287003246333,0.869198312236287,0.835820895522388,MASTER_RESULTS_LOCKED_v2.xlsx,E4
S2,13,0.8545780969479354,0.8483189902467012,0.8315074621606635,0.8617886178861789,0.6923076923076923,MASTER_RESULTS_LOCKED_v2.xlsx,E4
FULL,26,0.8779174147217235,0.8604736160760257,0.8607978704076287,0.8347826086956521,0.78125,MASTER_RESULTS_LOCKED_v2.xlsx,E4
S2_DEM,17,0.8366247755834829,0.8168162760933846,0.8208748268174643,0.8185654008438819,0.75,MASTER_RESULTS_LOCKED_v2.xlsx,E4
S1,9,0.5888689407540395,0.552570281124498,0.530549746664749,0.42165242165242167,0.4909090909090909,MASTER_RESULTS_LOCKED_v2.xlsx,E4
