condition,rubber_f1_mean,rubber_f1_sd,durian_f1_mean,durian_f1_sd,macro_f1_mean,macro_f1_sd,source_workbook,source_sheet
full,0.773742518351214,0.07461411005719291,0.794741343345849,0.027646162833400132,0.8461959887950673,0.010954828366895526,MASTER_RESULTS_LOCKED_v2.xlsx,E6
rubber_reduced_to_bentong_scale,0.7483231605880171,0.09367329932009298,0.7667701798936004,0.03733355882539719,0.8363170509377409,0.018551823619073378,MASTER_RESULTS_LOCKED_v2.xlsx,E6
